AuthorId,AuthorName,AuthorSSN
11667,67,961-50-9388.78
1270,55,306-63-2141.21
6970,52,297-59-9167.61
5358,84,834-53-4257.47
9296,97,888-70-5033.2
11195,79,746-95-1309.1
4206,91,565-78-3406.06
1941,92,973-16-5546.01
9160,67,738-59-3825.44
1048,66,329-70-8530.88
570,85,610-83-3555.92
1909,71,782-91-4456.47
6741,64,600-55-7639.09
1943,64,873-84-2448.6
6183,69,529-86-5479.72
10096,81,374-32-9086.87
5702,91,826-47-8853.22
2150,51,417-10-2084.12
9541,95,155-77-9167.47
3987,96,573-48-5467.18
6408,64,872-76-1372.97
9385,81,555-53-3452.77
247,89,254-70-1521.11
4673,74,634-11-2476.91
5706,53,666-96-9442.73
8811,86,761-77-4850.93
5098,96,995-76-8962.28
862,91,888-97-6049.98
3826,51,251-84-2762.2
9416,67,568-39-4061.04
3187,58,784-22-2160.55
749,72,261-53-2032.86
2519,99,526-94-7653.55
2178,69,777-20-6850.87
6194,60,997-79-8678.75
323,54,704-16-5386.18
4017,68,377-56-9360.76
11494,60,713-94-6136.19
8797,77,469-77-3925.85
6053,52,216-36-5628.3
3982,80,726-63-5934.4
4778,76,743-73-7662.18
11932,85,362-74-4805.42
833,76,654-30-9522.05
260,87,805-60-5297.59
5227,95,931-31-1695.8
10793,94,846-41-4662.87
8119,94,948-61-2614.38
9189,82,400-26-1499.47
9187,93,231-18-9523.57
3968,55,133-58-1668.16
7215,79,839-33-2576.3
4061,54,607-88-7589.64
8232,92,473-71-4622.69
4421,83,781-37-9902.16
3253,92,264-27-1113.51
11245,74,624-26-1182.58
6601,86,427-87-6638.26
1751,95,414-64-9294.99
6568,50,647-96-8020.03
10875,71,828-68-8782.2
10802,61,411-25-9051.35
3234,57,109-82-1793.51
9876,59,432-68-9504.4
4214,51,594-46-8679.21
11116,87,857-12-2646.35
2364,77,193-79-9049.58
6261,60,121-71-3776.38
7091,70,666-32-3797.2
10885,72,922-55-1328.74
1587,83,969-74-4566.35
1802,96,267-69-4366.26
9159,62,227-52-3265.65
11563,83,454-97-2287.98
7942,82,420-39-2431.74
5680,97,399-92-8098.05
5671,67,653-92-3361.11
5885,93,405-63-2134.76
289,77,914-82-8347.56
5514,88,715-68-4392.12
1067,89,921-21-6045.16
5136,86,685-92-3602.96
7489,90,548-75-4038.48
1974,97,401-51-5642.63
8120,59,675-54-8005.52
11169,69,461-35-9518.29
4978,75,459-73-6467.21
6861,64,199-55-8702.84
1533,70,740-15-6993.86
2924,86,264-11-5275.71
8705,70,684-43-4955.43
5912,72,729-59-4980.82
5005,52,750-14-6813.84
9531,54,400-77-8579
8784,72,510-55-1504.59
8669,83,652-21-1214.78
10194,60,687-54-1286.92
10084,80,882-83-4118.99
11513,65,727-21-7237.74
10499,56,239-89-9646.13
3422,55,763-17-5759.97
5751,60,526-28-9777.35
5764,94,695-86-9225.35
7872,86,111-24-8398.45
2538,77,988-32-3067.98
5532,68,330-77-3077.2
2559,61,719-69-5145
5265,62,326-86-4737.06
4139,64,566-88-6416.67
4396,83,280-30-9805.33
1740,96,721-21-1334.03
10102,93,780-75-1972.29
11811,59,282-43-7539.81
6136,98,370-97-1705.13
6930,68,425-74-6999.65
2303,78,348-51-5148.43
10381,94,911-79-6397.72
9765,63,243-25-7237.29
855,76,120-29-3646.39
7537,92,215-74-7824.35
8207,71,631-32-7034.12
8197,78,613-14-5735.71
11617,65,302-16-9611.9
395,92,838-69-2668.2
11034,96,628-25-1801.69
10247,91,989-43-7616.21
7482,52,144-37-8157.11
7984,59,347-65-9280.72
11843,85,961-25-7834.38
11609,88,800-86-7130.51
4504,89,361-71-7922.33
6417,58,541-61-5980.7
11959,84,821-49-4973.21
11210,92,804-11-3650.16
6285,77,762-40-5015.43
7670,62,234-73-9851.06
4563,82,780-32-3817.3
10493,72,566-65-1074.27
2079,55,810-44-6312.26
325,85,116-13-3487.69
1602,72,403-22-3108.22
1245,86,762-51-6975.97
2293,57,106-18-4133.79
11085,79,880-14-9808.64
1693,92,489-16-6429.71
11028,58,791-42-9623.15
777,71,543-64-3083.18
2232,95,972-56-6599.23
1787,53,401-26-6287.76
7584,100,309-26-9132.16
6889,93,928-57-7457.95
3708,66,894-88-5672.12
5230,77,788-46-7654.53
8648,90,580-76-8856.96
11120,86,624-15-4643.44
6052,79,637-39-2271.47
9886,54,872-14-2113.49
11079,89,282-90-9862.73
10123,73,755-92-6555.32
11675,89,979-84-8800.4
6170,80,695-31-8341.7
10493,96,613-89-3523.75
5918,68,882-68-2981.34
7173,85,916-23-5953.26
140,87,465-35-3974.56
22,98,429-72-9608.59
4115,93,959-85-9051.68
8052,89,171-19-5231.08
5342,54,422-22-2070.47
4909,95,695-17-7660.15
8698,54,769-74-8769.77
4397,60,737-66-6912.6
6307,80,596-72-8165.4
8737,66,591-81-8238.76
9226,96,614-19-8998.84
9222,60,631-39-6327.74
7232,60,798-96-7396.08
2843,88,489-34-1367.87
8626,53,509-42-3099.27
9267,81,646-83-2821.54
1271,67,864-50-3090.74
926,58,740-43-1011.97
10588,95,327-72-8515.92
6404,95,540-56-9545.09
10222,95,683-89-2026.41
3287,97,936-34-3418.96
84,63,872-13-9911.6
8141,80,972-65-2382.58
7879,83,955-40-2672.25
3107,95,400-58-4177.89
359,58,336-85-9530.36
8829,55,652-45-9410.16
8750,53,863-29-5464.48
8790,60,362-14-3460.36
9543,65,702-82-5754.34
9397,91,170-68-5100.38
25,83,174-13-8511.29
8924,59,129-68-2212.62
10595,50,243-82-2570.19
6970,60,365-89-2563.92
304,67,681-17-6979.02
2017,74,807-80-2344.27
186,67,930-16-5907.81
7836,72,369-62-8950.52
8309,53,101-65-1784.44
9698,67,789-14-2924
9058,57,229-71-8770.66
10051,72,107-33-4948.43
758,53,469-33-7956.05
4367,56,158-51-9664.61
5640,83,633-17-6198.7
11025,93,334-93-8579.23
10658,75,524-13-8675.57
7735,93,167-30-6850.42
8073,100,878-65-8138.5
7153,64,951-87-3558.62
9822,69,208-49-1366.63
4113,74,559-84-5678.96
7989,70,927-45-4128.29
6892,83,576-33-8346.43
6641,76,434-84-2982.84
459,97,974-45-6507.71
1941,67,670-82-7812.16
2620,60,503-88-1181.31
8594,82,800-79-8072.87
683,94,131-81-7390.36
5549,74,878-97-2208.03
9255,63,788-62-5981.11
10495,51,254-64-8428.5
11344,97,433-16-1643.13
8010,68,260-51-5423.95
11246,93,525-31-6809.92
2529,84,255-28-9083.32
6015,94,807-11-6844.21
8832,99,362-50-4622.15
2162,69,739-93-3953.74
11468,99,256-72-6850.18
7661,65,196-67-1438.63
11927,56,579-33-6942.83
11371,57,336-28-6042.72
3075,95,207-85-1425.24
4089,75,494-24-9176.52
10985,92,582-22-5865.52
3842,53,621-21-9371.55
5922,65,990-94-3389.31
8034,75,103-11-9624.28
5790,90,700-32-4437.05
4398,51,731-85-8005.72
7465,83,728-17-8506.39
10266,57,232-79-4789.31
6121,72,820-57-1836.71
9713,90,205-29-9582.72
8995,88,175-30-1132.56
11571,97,243-66-9040.57
2648,53,649-51-3336.61
10826,52,239-13-3626.85
6265,53,950-56-8034.49
5073,52,239-37-8354.1
8370,67,333-44-9554.25
3490,99,189-37-7064
5074,57,299-68-5241.48
2175,57,694-24-9662.24
1357,64,511-84-2616.13
9804,79,119-97-8982.44
10346,66,867-11-3082.96
10141,69,222-84-4411.42
10991,90,830-42-5834.48
7508,62,369-78-6807.14
705,75,242-37-6857.53
10212,96,637-51-5981.83
7489,96,554-20-5667.11
1474,66,812-93-2554.21
5410,54,691-51-7352.97
9376,89,893-85-4437.79
5695,54,377-30-2756.3
2500,72,945-44-8979.08
3578,95,936-62-7275.94
2702,79,896-84-9445.05
96,66,195-79-1075.72
1840,78,135-27-2807.9
4374,90,417-26-5112.65
993,68,459-59-8457.98
10220,95,800-62-6710.14
8954,58,215-56-5233.19
7688,89,110-40-7129.11
436,51,542-73-1464.24
5564,57,197-85-2291.71
8312,61,535-17-3830.76
442,92,349-19-7073.34
4590,75,802-34-2097.21
391,100,825-93-9675.53
3379,93,760-34-6170.06
5710,85,230-34-8061.82
7207,82,261-38-4130.61
8883,94,954-50-9786.39
10873,67,761-41-4948.08
7820,88,891-68-2647.25
11735,55,966-32-5401.27
8651,72,485-24-6252.86
10212,80,936-69-9970.64
10644,79,970-34-9147.5
10943,94,486-61-7993.23
11904,65,397-20-2884.09
3134,68,634-73-1724.55
11029,66,623-68-8242.46
6544,64,388-95-8320.07
11358,52,396-54-3117.44
10777,99,814-39-9213.79
2228,85,181-95-5805.28
8787,94,523-83-3492.03
3377,86,925-64-6915.14
1550,72,223-53-9886.5
2729,79,124-88-7479.81
36,71,238-45-7303.26
806,86,934-58-9785.73
8861,96,876-68-6257.28
3160,74,393-76-5250.05
6323,81,850-93-3093.73
11577,97,834-14-4776.24
3351,53,953-35-3694.94
6806,66,635-46-6276.4
6647,88,817-92-2278.07
10715,57,908-75-1744.21
11572,62,251-63-9064.91
10784,98,420-31-5995.16
9118,75,214-20-6979.27
11610,53,618-39-4189.2
1390,67,776-20-2636.13
2243,73,639-44-2818.48
2794,60,569-64-4222.66
6376,76,793-36-6687.85
2469,50,351-83-9381.91
10296,58,529-91-9441.37
6077,72,644-55-3694.05
316,66,913-71-4356.74
982,71,106-59-6560.59
7506,55,514-20-9233.06
11584,64,935-90-3742.27
10242,87,173-42-7877.12
5150,89,177-29-4207.1
4949,95,189-23-4383.73
6699,89,670-64-3612.73
698,89,241-54-7401.39
3945,86,533-89-7817.78
5224,53,656-52-6518.15
9733,75,360-84-1181.69
10315,95,255-21-7746.13
9303,79,327-70-8483.81
7870,98,586-42-8708.61
1222,69,482-24-2059.6
7395,54,558-69-8700.66
4909,85,290-38-3586.24
7245,68,491-95-7999.36
5709,85,754-40-8136.66
10780,84,184-21-6235.39
1299,94,298-13-3070.92
7404,81,360-50-9063.54
11475,81,178-94-5337.26
2669,56,763-73-1115.13
667,52,135-53-1853.19
7373,66,140-34-6062.17
3579,89,696-53-7446.08
5512,100,552-78-8170.55
10614,65,820-91-7049.61
9777,63,296-33-3886.74
6512,65,652-63-3695.88
5283,64,163-47-5420.56
7415,60,696-29-6633.81
1963,83,377-43-2289.58
9671,61,628-91-1959.17
4374,84,645-29-9251.08
4908,80,816-46-1599.9
10384,63,536-70-9801.37
986,52,339-95-3100.44
11025,96,663-79-3722.33
7088,71,388-17-2285.22
8774,73,657-60-7455.96
2406,58,549-85-9750.87
9184,68,247-92-1452.59
11220,79,244-59-4349.21
11174,56,421-32-2200.66
1685,86,905-30-2958.78
9429,67,880-63-2439.08
7033,90,612-28-5204.6
2696,56,567-83-1713.32
10839,89,289-76-5350.53
6342,87,399-76-6847.66
3030,92,486-68-2038.75
6402,69,608-93-6446
8633,88,366-92-2680.66
7430,64,103-80-7949.92
10108,75,788-80-5435.01
10889,71,104-90-5631.75
6098,52,268-33-9112.38
6501,66,505-73-7163.19
5198,70,157-79-3864.46
6957,89,607-58-2373.57
11063,66,292-25-1474.51
3792,85,198-81-9748.78
11401,91,784-62-5307.33
2496,57,470-82-2639.89
5422,61,980-34-2055.2
1303,67,707-18-1447.22
10436,89,663-70-5512.1
2055,96,576-83-6377.82
2985,92,677-87-9480.44
40,97,503-41-2950.51
2948,90,751-67-4103.17
4166,82,427-94-6885.56
9717,86,438-88-5203.5
10952,63,734-23-9113.11
5640,76,556-96-7552.78
10329,60,122-14-6780.72
10134,97,147-48-1094.22
9562,66,927-88-5377.21
5472,92,738-21-5256.74
5072,86,729-86-4801.39
1944,88,500-82-9186.56
1494,94,156-80-4265.21
2633,68,975-79-8452.48
2144,83,208-68-7722.67
11658,58,466-38-8139.79
3359,84,983-57-2671.55
3953,73,828-33-4638.32
8636,98,606-20-7279.33
1617,91,885-31-7303.34
3670,88,527-45-6392.76
10885,80,949-13-8342.1
4297,93,267-62-5728.74
10611,51,865-37-3650.71
6452,88,130-94-4140.34
7080,62,656-18-4626.84
944,60,948-49-3364.74
2016,93,707-38-9600.3
9666,55,203-59-8168.79
1426,65,272-53-1709.3
2366,97,867-42-7894.69
7149,77,273-30-8664.43
3460,60,208-69-2454.02
518,58,465-56-2465.06
96,95,137-66-7819.05
9997,54,907-28-1148.8
762,91,324-76-9904.07
2659,91,422-84-5351.52
2668,81,405-90-5623.65
4371,57,412-22-1571.54
518,92,745-67-8011.59
7345,93,586-60-7893.35
6822,62,690-94-8614.31
5313,68,131-27-1452.55
6951,82,770-13-2959.59
1279,63,251-51-3765.05
8869,96,578-25-2467.09
1411,53,748-12-8276.13
6720,66,195-27-2949.27
799,57,345-48-1039.86
7306,54,183-20-7450.13
1542,62,643-81-6770.57
1998,60,826-22-7272.55
5880,97,767-33-1595.12
6683,72,536-64-6338.24
8818,77,785-65-5174.43
5477,80,722-55-7236.45
9589,91,410-10-6595.34
3635,92,849-14-4658.22
6079,92,396-35-1696.51
1456,86,868-19-3110.46
1808,74,917-56-3645.84
5821,93,882-85-5972.09
1080,67,148-71-5831.04
2429,78,775-40-6428.31
2949,91,123-63-1320
9707,80,697-74-1498.9
7866,71,215-83-9571.63
8667,91,805-82-2253.18
1150,77,330-51-7954.73
8639,83,180-88-6489.96
3103,73,661-40-4416.73
2071,62,889-10-3151.68
8652,84,471-60-7002.8
7853,98,753-63-1223.53
8566,97,731-75-8078.81
8724,76,303-11-7833.81
5050,52,571-70-3823.35
3211,84,651-66-1476.6
10949,66,170-26-3606.66
5194,66,712-59-7740.23
2030,62,168-11-1423.78
1168,98,518-93-6499.15
9696,99,110-30-7098.71
1723,63,842-78-2012.59
1682,77,520-34-1795.77
10651,64,929-94-8142.34
8278,96,673-91-3008.84
8556,55,913-30-4738.5
10743,68,819-68-5600.04
6218,55,117-31-8222.85
1360,57,849-66-7872.77
10855,67,571-13-4958.49
4234,89,319-35-7383.11
9398,53,236-64-2527.86
3350,98,125-52-9673.2
7950,75,135-17-5587.71
10082,83,868-17-2984.22
4116,87,930-74-5461.4
617,77,801-12-4701.44
6772,59,499-40-3323.85
4049,66,530-13-6253.7
8106,89,364-52-3906.97
3349,59,484-68-3136.64
5038,62,652-46-8742.1
2334,90,671-47-9955.63
8855,65,244-97-7885.77
9065,85,965-13-3104.72
9532,100,554-43-2078.65
2438,63,322-70-4868.2
11592,69,737-27-1187.17
5015,51,151-52-9184.94
1998,64,701-82-7050.39
8592,52,437-67-1760.46
8247,81,286-55-3875.64
1211,71,768-34-4797.83
9947,60,829-95-2167.67
2213,55,190-74-8019.94
5267,58,239-96-9275.63
10905,74,655-37-6641.49
316,90,508-54-5941.89
5074,73,323-32-5258.99
5812,51,624-78-5430.06
5373,53,200-16-7986.29
5808,96,459-28-2563.86
7264,92,242-72-9173.48
3974,95,396-67-9958.29
7089,50,970-18-4725.87
9890,57,671-97-3247.61
3557,97,826-42-4169.26
10410,91,268-53-6067.38
2479,60,153-88-2373.82
4623,70,177-96-6132.09
10996,63,744-41-5219.57
6556,67,515-54-5720.16
8973,79,695-73-9236.98
2270,63,182-38-8877.3
6091,59,869-90-6420.49
7085,90,955-78-7100.2
42,85,556-91-9503
2120,53,475-30-8951.95
11564,82,111-15-3882.16
8089,53,158-89-5420.43
8734,76,138-11-8557.03
7538,69,145-18-2977.24
9714,83,160-28-9191.97
835,93,180-50-2305.8
7563,82,306-52-3899.49
4156,76,266-12-8765.54
6055,74,227-39-7293.42
10393,74,894-64-3400.77
366,70,158-26-2490.06
3212,82,103-77-7194.11
6764,73,356-92-2880.26
10004,64,107-71-9082.6
8192,61,530-59-9327.84
8172,97,473-64-8867.82
3265,70,295-77-8624.96
7250,94,899-31-2254.9
2762,82,537-33-3746.49
10765,77,316-12-6898.45
3040,81,399-26-3411.13
10623,86,366-36-2738.73
8495,99,496-38-1918.71
1310,82,770-47-6499.75
11444,76,169-80-5150.02
3884,64,531-38-7036.32
5433,54,399-20-4443.62
11685,52,324-31-6862.01
8000,64,653-74-4352.51
465,89,703-65-4468.54
5576,77,253-51-2686.63
4270,75,963-29-9204.38
6203,91,707-56-6102.99
4307,75,813-62-5354.57
9602,67,605-86-7993.19
1889,75,451-57-3088.93
8203,71,623-17-1615.25
8141,63,524-34-3305.9
5413,87,558-39-9375.58
9670,82,597-97-5811.1
5265,82,947-23-4423.69
616,99,574-31-6807.25
9166,75,628-75-2182.02
1066,52,159-56-8297.17
8772,99,163-38-3879.9
7010,54,204-27-4027.6
4843,57,882-61-1208.03
1249,64,352-16-6283.17
435,52,699-48-6489.79
8028,68,620-19-6849.7
6600,80,646-89-2760.35
8448,56,328-71-3307.24
9088,84,162-82-6305.22
3508,91,796-15-5578.98
10538,66,349-84-4649.4
10337,57,922-46-3610.32
3825,55,635-32-2857.13
4645,91,766-55-9523.5
6951,93,254-20-7969.55
4685,61,602-69-2613.03
11038,100,615-58-8798.96
7085,63,878-63-4059.46
11001,67,973-43-1842.93
618,54,961-23-3330.35
6220,65,372-29-8024.91
11794,68,428-49-4162.47
2222,98,529-13-4890.67
3205,58,113-77-4188.2
541,63,559-94-9209.75
2521,95,638-88-6031.62
3877,84,249-45-4793.52
11304,53,979-78-9903.27
11944,87,174-21-7008.92
8751,73,113-46-2867.48
7156,74,664-18-7062.6
923,74,298-19-3928.62
11241,91,386-81-5278.25
4124,92,678-36-6765.14
4618,90,828-28-5790.7
7979,86,440-28-7735.3
3067,99,276-48-3832.69
5992,77,315-77-6020.43
1755,55,116-16-7482.35
9606,63,558-92-8049.76
3177,51,281-56-7166.48
3261,55,397-75-3352.87
11671,64,927-28-3881.13
6063,65,279-25-2035.34
4337,89,653-19-5048.48
9308,88,476-83-8048.4
2041,75,223-33-5672.06
5749,76,356-55-6412.02
364,80,505-25-9963.36
3093,68,363-45-6818.43
3531,85,397-43-2196.02
8434,75,780-23-2180.39
1958,58,665-39-1160.98
6244,66,428-62-6683.49
5693,70,652-78-1229.49
11705,92,714-83-3912.31
4560,98,776-61-3332.97
9340,61,506-17-3494.56
3795,78,528-86-7375.2
5224,100,613-25-4384.17
5762,89,223-93-2545.61
6505,61,115-52-8745.65
11942,99,697-95-7621
2008,50,528-26-8416.26
8007,83,923-39-6990.12
6507,74,253-56-8884.88
7418,87,274-90-9978.15
8534,75,908-79-4396.9
8322,64,242-74-3407.06
2908,54,499-34-8714.79
10038,78,218-56-9520.9
4052,72,320-48-6777.36
11962,80,681-53-4709.7
3981,55,566-13-7130.17
10496,51,869-15-8443.09
3845,91,728-56-9076.8
5716,94,885-22-3843.94
196,79,470-38-2124.55
6108,84,902-71-3041.6
7588,92,792-54-6758.58
10612,88,455-63-5828.05
10971,55,210-36-7909.69
5996,66,913-39-1898.51
8064,62,646-50-1173.76
7857,88,172-39-3965.07
3183,51,507-57-5780.44
4467,79,297-65-8139.67
11761,69,653-24-3307.24
9915,52,768-28-4607.79
8360,75,996-78-5358.91
7442,84,751-57-9678.21
1482,82,615-30-4346.04
9730,53,567-66-7550.3
5993,83,495-14-7604.4
3584,69,173-39-1967.16
2049,58,692-62-3180.21
3845,78,495-64-1293.46
2905,62,644-49-5756.69
7976,53,177-50-6418.98
9169,92,806-60-7722.16
2427,78,978-40-5000.97
2944,50,584-47-3345.02
4662,67,625-95-5007.23
18,79,715-39-4592.75
395,75,562-77-5348.96
7680,74,952-90-1985.64
3019,91,581-35-7035.59
7330,80,959-44-4624.39
1481,62,216-35-9739.02
5678,55,440-18-4780.8
2744,56,807-55-7902.47
3492,89,159-62-2104.9
534,68,702-75-2399.61
7937,67,258-76-6855.91
10959,80,433-54-6868.67
4990,80,697-59-7165.75
230,60,714-82-4008.62
11352,65,558-74-8945.34
6558,69,303-70-6922.8
9191,79,424-32-3743.55
6637,76,565-97-8188.14
10284,66,794-23-3877.09
5388,55,465-21-9615.99
4639,95,377-87-4823.32
6555,65,120-54-6369.97
5363,92,871-26-6453.32
3866,96,970-94-3355.89
9243,67,533-52-5391.9
2064,97,671-27-5829.08
390,84,411-30-5572.45
6794,51,823-49-2421.64
5951,93,889-21-2965.88
3009,57,480-59-1453.94
11597,54,187-21-5406.46
5749,71,566-37-7841.8
4726,89,239-61-5872.99
6222,68,856-12-3259.1
8520,76,930-36-1197.66
4814,91,540-64-5686.7
1475,52,965-84-5934.5
11568,82,434-19-7090.38
4709,86,205-58-9798.52
5678,60,675-86-5675.06
2596,59,372-78-8944.53
6186,90,591-82-6927.43
4108,91,525-90-9498.45
10996,79,309-70-4285.4
10048,58,147-84-1231.18
11777,53,357-68-4245.66
5818,83,186-49-1778.85
3065,76,286-96-6865.37
3191,90,420-19-6155.07
9106,53,651-72-2192.31
7907,69,971-73-3782.06
2833,98,691-80-7594.44
4822,70,992-18-5651.29
1679,69,849-80-7365.3
8856,91,305-43-8764.09
8664,83,243-23-2601.41
8073,57,282-67-3734.31
6543,98,297-62-9212.96
11294,52,209-29-8840.83
8997,52,809-20-6381.01
7081,72,355-60-9500.03
6318,96,667-20-4273.54
2939,92,390-65-9126.55
8229,82,538-64-3296.97
68,77,430-59-3755.84
5477,91,280-68-5715.31
7736,76,476-14-6381.78
1515,84,129-52-4106.66
740,53,340-24-3698
2096,71,899-14-6208.23
5381,99,343-75-1377.16
4865,74,125-70-7947.16
11318,69,818-25-4289.2
4575,72,265-47-4098.95
7857,73,774-91-9997.54
5162,95,827-15-8282.53
11016,64,571-80-9405.22
8496,94,806-85-2788.2
6746,59,825-65-8983.6
2530,80,159-59-7309.3
937,65,490-39-4511.55
1104,57,283-50-1829.21
7461,87,862-82-5658.46
5956,88,145-88-9938.43
4465,54,121-85-4795.23
4335,52,417-66-9259.61
7363,94,683-75-6353.93
8503,69,109-63-1342.43
9356,78,509-71-5081.47
5845,52,451-41-1330.04
2560,64,103-88-6033.86
9028,79,135-35-4633.46
2594,100,350-84-4592.38
901,76,240-56-7350.18
5917,51,729-71-4382.38
2679,57,659-43-9176.43
989,99,579-13-6737.18
255,54,573-17-9494.15
11670,84,744-45-6639.16
333,62,102-70-2858.07
11952,73,688-27-7709.53
1444,99,664-66-1265.96
